credits1,credits2,credits_earned1,credits_earned2,session1,winter_ac_standing,GPA_year1,GPA_year2,CGPA_year1,CGPA_year2,totcredits_year1,totcredits_year2,goodstanding_year1,goodstanding_year2,winter_ac_stand_year1,winter_ac_stand_year2,fallreg_year1,fallreg_year2,act_fallreg_year1,act_fallreg_year2,summerreg_year1,summerreg_year2,sex,mtongue,identifier,age_at_entry,bpl_north_america,bpl_asia,canadian,bpl_other,firstyear,yearstodegree,gradin4,gradin5,gradin6,gradin4orcont,cumcredits1,cumcredits2,prog_science,prog_socsci_bus,prog_socscihum,prog_unknown,english,noenglish,french,other_lang,female,male,gpacutoff,dist_from_cut,year2_dist_from_cut,CGPA_final,nextGPA,nextCGPA,probation_year1,probation_year2,probation_summer1,probation_summer2,probation_ever,suspended_year1,suspended_summer1,suspended_year2,suspended_summer2,suspended_ever,loc_campus1,loc_campus2,loc_campus3,all,left_school,gpalscutoff,gpaXgpalscutoff,gpaXgpagrcutoff,gpasqXgpagrcutoff,dist_from_cut_med10,dist_from_cut_med05,dist_from_cut_med025,hsgrade_pct,veryhighHS,highHS,lowHS,maleXhighHS,femaleXhighHS,maleXlowabil,femaleXlowabil,clustervar,summer,gender,birthplace,study_campus,first_language,on_probation_after_1st_year,ever_on_probation,left_university_after_1st_evaluation,ever_suspended,graduated_by_year4,graduated_by_year5,graduated_by_year6,all_students,status
3,2.5,2.5,2.5,20039,OKAY,1.6399999856948853,1.7999999523162842,1.6399999856948853,1.840000033378601,5,5,1,1,OKAY,OKAY,1,1,REG,REG,1,0,F,English,77666,18,1,0,1,0,2003,NA,NA,NA,NA,NA,2.5,5,0,1,1,0,1,0,0,0,1,0,1.5,0.14000000059604645,0.30000001192092896,NA,1.5,0.3700000047683716,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.13999998569488525,0.019599996507167816,0.15000000596046448,0.125,0.1525000035762787,63,0,1,0,0,1,0,0,0.14000000059604645,1,Female,North America,Campus 1,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
2,2,2,2,19969,OKAY,1.6299999952316284,1.899999976158142,1.6299999952316284,1.6100000143051147,3.5,3,1,1,OKAY,OKAY,1,1,REG,REG,1,0,F,English,77737,19,1,0,1,0,1996,NA,0,0,0,1,2,4,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,0.029999999329447746,0.30000001192092896,NA,-0.9000000357627869,-0.18000006675720215,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.029999971389770508,8.999982965178788e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,14,0,0,1,0,0,0,1,0.029999999329447746,1,Female,North America,Campus 3,English,No,Yes,No,Yes,No,No,No,All Students,In Good Standing
3.5,3.5,3.5,3,20019,OKAY,1.6200000047683716,1.6100000143051147,1.6200000047683716,1.6200000047683716,4.5,5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,77822,19,1,0,1,0,2001,NA,0,NA,NA,1,3.5,6.5,0,0,1,0,1,0,0,0,1,0,1.5,0.11999999731779099,0.10999999940395355,1.8600000143051147,0.11000001430511475,0.12000000476837158,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.12000000476837158,0.014400000683963299,0.15000000596046448,0.125,0.13249999284744263,15,0,0,1,0,0,0,1,0.11999999731779099,0,Female,North America,Campus 2,English,No,No,No,No,No,NA,NA,All Students,In Good Standing
2.5,2.5,2.5,2.5,19999,PROB,1.4600000381469727,2.369999885559082,1.4600000381469727,1.9900000095367432,4.5,4.5,0,1,PROB,OKAY,1,1,REG,REG,1,1,M,Other,77864,19,1,0,1,0,1999,3,1,1,1,1,2.5,5,0,1,1,0,0,1,0,1,0,1,1.5,-0.03999999910593033,0.8700000047683716,NA,1.2000000476837158,0.1799999475479126,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.039999961853027344,0,0,-0.05000000074505806,-0.02500000037252903,-0.027499999850988388,3,0,0,1,0,0,1,0,-0.03999999910593033,1,Male,North America,Campus 1,Other,Yes,Yes,No,No,Yes,Yes,Yes,All Students,On Academic Probation
2,3,2,3,19999,PROB,1.350000023841858,1.5700000524520874,1.350000023841858,1.5,4,5,0,1,PROB,OKAY,1,1,REG,REG,1,0,M,English,77866,19,1,0,1,0,1999,6,0,0,1,1,2,5,1,0,0,0,1,0,0,0,0,1,1.5,-0.15000000596046448,0.07000000029802322,NA,0.20000004768371582,-0.08000004291534424,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.1499999761581421,0,0,-0.15000000596046448,-0.125,-0.14749999344348907,87,1,1,0,1,0,0,0,-0.15000000596046448,1,Male,North America,Campus 1,English,Yes,Yes,No,No,No,No,Yes,All Students,On Academic Probation
3,0,2.5,0,20019,PROB,1.4700000286102295,NA,1.4700000286102295,NA,4.5,0,0,0,PROB,,1,0,REG,FINCA,0,0,F,English,77918,20,1,0,1,0,2001,NA,0,NA,NA,0,2.5,2.5,0,1,1,0,1,0,0,0,1,0,1.5,-0.029999999329447746,NA,NA,NA,NA,1,NA,0,NA,1,0,0,NA,NA,0,0,1,0,1,1,1,-0.029999971389770508,0,0,-0.05000000074505806,-0.02500000037252903,-0.027499999850988388,24,0,0,1,0,0,0,1,-0.029999999329447746,0,Female,North America,Campus 2,English,Yes,Yes,Yes,No,No,NA,NA,All Students,On Academic Probation
2.5,2.5,2.5,0.5,20029,PROB,1.4800000190734863,0.25999999046325684,1.4800000190734863,0.8999999761581421,5,4.5,0,0,PROB,SUS1,1,1,REG,REG,0,0,M,English,77964,18,1,0,1,0,2002,NA,NA,NA,NA,NA,2.5,3,0,0,1,0,1,0,0,0,0,1,1.5,-0.019999999552965164,-1.2400000095367432,NA,-1.2400000095367432,-0.6000000238418579,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.019999980926513672,0,0,-0.05000000074505806,-0.02500000037252903,-0.007499999832361937,30,0,0,1,0,0,1,0,-0.019999999552965164,0,Male,North America,Campus 1,English,Yes,Yes,No,Yes,NA,NA,NA,All Students,On Academic Probation
3.5,3,3,2,20009,PROB,1.409999966621399,1.1799999475479126,1.409999966621399,1.4299999475479126,4.5,3,0,0,PROB,SUS1,1,1,REG,REG,1,0,M,Other,78059,18,1,0,1,0,2000,NA,0,0,NA,0,3,5,1,0,0,0,0,1,0,1,0,1,1.600000023841858,-0.1899999976158142,-0.41999998688697815,NA,1.399999976158142,-0.029999971389770508,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,-0.19000005722045898,0,0,-0.15000000596046448,-0.17499999701976776,-0.1875,23,0,0,1,0,0,1,0,-0.1899999976158142,1,Male,North America,Campus 3,Other,Yes,Yes,No,Yes,No,No,NA,All Students,On Academic Probation
2,1.5,1.5,1.5,19969,PROB,1.4299999475479126,2.799999952316284,1.4299999475479126,2.009999990463257,4,3,0,1,PROB,OKAY,1,1,REG,REG,0,0,M,English,78102,18,1,0,1,0,1996,5,0,1,1,1,1.5,3,0,NA,0,1,1,0,0,0,0,1,1.5,-0.07000000029802322,1.2999999523162842,2.119999885559082,1.2999999523162842,0.5099999904632568,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.0700000524520874,0,0,-0.05000000074505806,-0.07500000298023224,-0.06750000268220901,50,0,0,1,0,0,1,0,-0.07000000029802322,0,Male,North America,Campus 1,English,Yes,Yes,No,No,No,Yes,Yes,All Students,On Academic Probation
2,4.5,2,4,20039,OKAY,1.5299999713897705,2.0899999141693115,1.5299999713897705,1.840000033378601,4,5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,78143,18,1,0,1,0,2003,NA,NA,NA,NA,NA,2,6,0,0,1,0,1,0,0,0,1,0,1.5,0.029999999329447746,0.5899999737739563,NA,0.5899999141693115,0.3400000333786011,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.029999971389770508,8.999982965178788e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,30,0,0,1,0,0,0,1,0.029999999329447746,0,Female,North America,Campus 1,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
3,2.5,3,2,20009,OKAY,1.6699999570846558,1.2799999713897705,1.6699999570846558,1.5099999904632568,4.5,3,1,1,OKAY,OKAY,1,1,REG,REG,0,1,M,Other,78272,19,1,0,1,0,2000,NA,0,0,NA,1,3,5,1,0,0,0,0,1,0,1,0,1,1.5,0.17000000178813934,-0.2199999988079071,NA,-0.2200000286102295,0.009999990463256836,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.16999995708465576,0.028899986296892166,0.15000000596046448,0.17499999701976776,0.17249999940395355,71,0,1,0,1,0,0,0,0.17000000178813934,0,Male,North America,Campus 1,Other,No,Yes,No,No,No,No,NA,All Students,In Good Standing
3,2.5,3,2.5,19979,PROB,1.440000057220459,1.8300000429153442,1.440000057220459,1.6100000143051147,5,4,0,1,PROB,OKAY,1,1,REG,REG,0,0,M,English,78277,19,1,0,1,0,1997,5.5,0,0,1,1,3,5.5,0,NA,0,1,1,0,0,0,0,1,1.600000023841858,-0.1599999964237213,0.23000000417232513,NA,0.23000001907348633,0.009999990463256836,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,-0.15999996662139893,0,0,-0.15000000596046448,-0.17499999701976776,-0.14749999344348907,4,0,0,1,0,0,1,0,-0.1599999964237213,0,Male,North America,Campus 3,English,Yes,Yes,No,No,No,No,Yes,All Students,On Academic Probation
2.5,2,2.5,2,19999,OKAY,1.6799999475479126,1.75,1.6799999475479126,1.7799999713897705,4,3,1,1,OKAY,OKAY,1,1,REG,REG,1,0,M,English,78282,20,1,0,1,0,1999,4,1,1,1,1,2.5,4.5,0,1,1,0,1,0,0,0,0,1,1.5,0.18000000715255737,0.25,1.909999966621399,0.7999999523162842,0.2999999523162842,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,8,0,0,1,0,0,1,0,0.18000000715255737,1,Male,North America,Campus 1,English,No,No,No,No,Yes,Yes,Yes,All Students,In Good Standing
2,0,1.5,0,19979,OKAY,1.649999976158142,NA,1.649999976158142,NA,4,0,1,0,OKAY,,1,0,REG,CANC,0,0,F,English,78339,19,1,0,1,0,1997,NA,0,0,0,0,1.5,1.5,0,NA,0,1,1,0,0,0,1,0,1.5,0.15000000596046448,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,1,0,0,1,1,0,0,0.1499999761581421,0.022499993443489075,0.15000000596046448,0.17499999701976776,0.1525000035762787,36,0,0,1,0,0,0,1,0.15000000596046448,0,Female,North America,Campus 1,English,No,No,Yes,No,No,No,No,All Students,In Good Standing
2,2.5,2,2,19979,PROB,1.350000023841858,2,1.350000023841858,1.6299999952316284,4,3,0,1,PROB,OKAY,1,1,REG,REG,0,1,F,English,78362,19,0,0,0,1,1997,5.5,0,0,1,1,2,4,0,NA,0,1,1,0,0,0,1,0,1.5,-0.15000000596046448,0.5,NA,0.5,0.12999999523162842,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,-0.1499999761581421,0,0,-0.15000000596046448,-0.125,-0.14749999344348907,11,0,0,1,0,0,0,1,-0.15000000596046448,0,Female,Other,Campus 1,English,Yes,Yes,No,Yes,No,No,Yes,All Students,On Academic Probation
2.5,1.5,2.5,1.5,19969,COND,1.6799999475479126,2,1.6799999475479126,1.809999942779541,4,3,0,1,COND,OKAY,1,1,REG,REG,0,1,M,English,78379,19,1,0,1,0,1996,NA,0,0,0,0,2.5,4,0,NA,0,1,1,0,0,0,0,1,1.600000023841858,0.07999999821186066,0.4000000059604645,NA,0.3999999761581421,0.2099999189376831,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.07999992370605469,0.006399987731128931,0.05000000074505806,0.07500000298023224,0.0925000011920929,2,0,0,1,0,0,1,0,0.07999999821186066,0,Male,North America,Campus 3,English,No,Yes,No,Yes,No,No,No,All Students,In Good Standing
2.5,2,2.5,2,19979,PROB,1.559999942779541,NA,1.559999942779541,NA,4.5,NA,0,0,PROB,,1,0,REG,NOREG,1,0,M,English,78441,18,1,0,1,0,1997,5,0,1,1,0,2.5,4.5,0,NA,0,1,1,0,0,0,0,1,1.600000023841858,-0.03999999910593033,NA,2.0999999046325684,0.10000002384185791,-0.019999980926513672,1,NA,1,NA,1,0,0,NA,NA,0,0,0,1,1,0,1,-0.040000081062316895,0,0,-0.05000000074505806,-0.02500000037252903,-0.027499999850988388,46,0,0,1,0,0,1,0,-0.03999999910593033,1,Male,North America,Campus 3,English,Yes,Yes,No,No,No,Yes,Yes,All Students,On Academic Probation
2,2.5,2,2,19989,OKAY,1.600000023841858,1.659999966621399,1.600000023841858,1.6299999952316284,4,4,1,1,OKAY,OKAY,1,1,REG,REG,0,1,M,English,78476,19,1,0,1,0,1998,5.5,0,0,1,1,2,4,0,NA,0,1,1,0,0,0,0,1,1.5,0.10000000149011612,0.1599999964237213,NA,0.15999996662139893,0.12999999523162842,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.10000002384185791,0.010000004433095455,0.15000000596046448,0.125,0.11249999701976776,6,0,0,1,0,0,1,0,0.10000000149011612,0,Male,North America,Campus 1,English,No,No,No,No,No,No,Yes,All Students,In Good Standing
2.5,3,2.5,3,20029,PROB,1.4900000095367432,3.4000000953674316,1.4900000095367432,2.309999942779541,4,4,0,1,PROB,OKAY,1,1,REG,REG,0,0,F,Other,78518,18,0,1,0,0,2002,NA,NA,NA,NA,NA,2.5,5.5,1,0,0,0,0,1,0,1,1,0,1.5,-0.009999999776482582,1.899999976158142,NA,1.9000000953674316,0.809999942779541,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.009999990463256836,0,0,-0.05000000074505806,-0.02500000037252903,-0.007499999832361937,52,0,1,0,0,1,0,0,-0.009999999776482582,0,Female,Asia,Campus 1,Other,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
5,0,4,0,19999,OKAY,1.659999966621399,NA,1.659999966621399,NA,5,5,1,0,OKAY,,1,1,REG,FINCA,0,0,F,English,78582,19,1,0,1,0,1999,6,0,0,1,0,4,4,0,NA,0,1,1,0,0,0,1,0,1.5,0.1599999964237213,NA,NA,NA,NA,0,NA,0,NA,0,0,0,NA,NA,0,0,1,0,1,0,0,0,0.15999996662139893,0.025599990040063858,0.15000000596046448,0.17499999701976776,0.17249999940395355,46,0,0,1,0,0,0,1,0.1599999964237213,0,Female,North America,Campus 2,English,No,No,No,No,No,No,Yes,All Students,In Good Standing
3,2,2.5,1,20039,OKAY,1.6799999475479126,0.6200000047683716,1.6799999475479126,1.2200000286102295,4,3,1,0,OKAY,PROB,1,1,REG,REG,0,0,M,Other,78593,18,1,0,1,0,2003,NA,NA,NA,NA,NA,2.5,3.5,1,0,0,0,0,1,0,1,0,1,1.5,0.18000000715255737,-0.8799999952316284,NA,-0.8799999952316284,-0.2799999713897705,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,60,0,1,0,1,0,0,0,0.18000000715255737,0,Male,North America,Campus 1,Other,No,Yes,No,No,NA,NA,NA,All Students,In Good Standing
3,3,2.5,2,19989,OKAY,1.7100000381469727,1.850000023841858,1.7100000381469727,1.7799999713897705,4,3,1,1,OKAY,OKAY,1,1,REG,REG,1,1,M,Other,78602,19,1,0,1,0,1998,5,0,1,1,1,2.5,4.5,1,0,0,0,0,1,0,1,0,1,1.600000023841858,0.10999999940395355,0.25,1.8700000047683716,0.25,0.13999998569488525,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.11000001430511475,0.012100002728402615,0.15000000596046448,0.125,0.11249999701976776,14,0,0,1,0,0,1,0,0.10999999940395355,1,Male,North America,Campus 3,Other,No,Yes,No,No,No,Yes,Yes,All Students,In Good Standing
4,1.5,3.5,1.5,20009,OKAY,1.6699999570846558,1.8300000429153442,1.6699999570846558,1.690000057220459,3.5,2,1,1,OKAY,OKAY,1,1,REG,REG,1,0,M,English,78606,19,1,0,1,0,2000,NA,0,0,NA,0,3.5,5,0,NA,0,1,1,0,0,0,0,1,1.600000023841858,0.07000000029802322,0.23000000417232513,NA,-0.029999971389770508,0.039999961853027344,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.06999993324279785,0.0048999907448887825,0.05000000074505806,0.07500000298023224,0.07249999791383743,5,0,0,1,0,0,1,0,0.07000000029802322,1,Male,North America,Campus 3,English,No,No,No,No,No,No,NA,All Students,In Good Standing
2.5,2,2,1.5,19989,PROB,1.4199999570846558,0.949999988079071,1.4199999570846558,1.2400000095367432,5,3,0,0,PROB,SUS1,1,1,REG,REG,0,0,F,English,78676,19,1,0,1,0,1998,NA,0,0,0,0,2,3.5,0,NA,0,1,1,0,0,0,1,0,1.5,-0.07999999821186066,-0.550000011920929,NA,-0.550000011920929,-0.25999999046325684,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.08000004291534424,0,0,-0.05000000074505806,-0.07500000298023224,-0.06750000268220901,46,0,0,1,0,0,0,1,-0.07999999821186066,0,Female,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,No,All Students,On Academic Probation
3,3,2.5,2.5,20019,OKAY,1.6100000143051147,0.9200000166893005,1.6100000143051147,1.2599999904632568,5,5,1,0,OKAY,PROB,1,1,REG,REG,1,0,M,English,78686,17,0,0,0,1,2001,NA,0,NA,NA,1,2.5,5,1,0,0,0,1,0,0,0,0,1,1.5,0.10999999940395355,-0.5799999833106995,1.5800000429153442,-0.5,0.009999990463256836,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0.11000001430511475,0.012100002728402615,0.15000000596046448,0.125,0.11249999701976776,84,1,1,0,1,0,0,0,0.10999999940395355,1,Male,Other,Campus 1,English,No,Yes,No,No,No,NA,NA,All Students,In Good Standing
3,3.5,2,3.5,19999,PROB,1.4800000190734863,2.8299999237060547,1.4800000190734863,2.1600000858306885,5,5,0,1,PROB,OKAY,1,1,REG,REG,0,1,F,English,78690,18,1,0,1,0,1999,4,1,1,1,1,2,5.5,1,0,0,0,1,0,0,0,1,0,1.5,-0.019999999552965164,1.3300000429153442,2.700000047683716,1.3299999237060547,0.6600000858306885,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,-0.019999980926513672,0,0,-0.05000000074505806,-0.02500000037252903,-0.007499999832361937,30,0,0,1,0,0,0,1,-0.019999999552965164,0,Female,North America,Campus 2,English,Yes,Yes,No,No,Yes,Yes,Yes,All Students,On Academic Probation
3,0,2,0,20019,PROB,1.340000033378601,NA,1.340000033378601,NA,4.5,0,0,0,PROB,,1,0,REG,FINCA,1,0,M,English,78703,18,0,1,0,0,2001,NA,0,NA,NA,0,2,2,1,0,0,0,1,0,0,0,0,1,1.5,-0.1599999964237213,NA,NA,-0.26999998092651367,-0.1799999475479126,1,NA,0,NA,1,0,1,NA,NA,1,1,0,0,1,0,1,-0.15999996662139893,0,0,-0.15000000596046448,-0.17499999701976776,-0.14749999344348907,22,0,0,1,0,0,1,0,-0.1599999964237213,1,Male,Asia,Campus 1,English,Yes,Yes,No,Yes,No,NA,NA,All Students,On Academic Probation
5.5,5,5.5,4.5,20019,OKAY,1.659999966621399,2.4700000286102295,1.659999966621399,2.069999933242798,5,5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,78722,18,1,0,1,0,2001,NA,0,NA,NA,0,5.5,10,0,0,1,0,1,0,0,0,1,0,1.5,0.1599999964237213,0.9700000286102295,2.069999933242798,0.9700000286102295,0.5699999332427979,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.15999996662139893,0.025599990040063858,0.15000000596046448,0.17499999701976776,0.17249999940395355,3,0,0,1,0,0,0,1,0.1599999964237213,0,Female,North America,Campus 2,English,No,No,No,No,No,NA,NA,All Students,In Good Standing
3,3.5,3,3,19969,PROB,1.4299999475479126,2.049999952316284,1.4299999475479126,1.7400000095367432,4.5,5,0,1,PROB,OKAY,1,1,REG,REG,0,1,F,Other,78948,19,1,0,1,0,1996,6,0,0,1,1,3,6,0,NA,0,1,0,1,0,1,1,0,1.5,-0.07000000029802322,0.550000011920929,NA,0.5499999523162842,0.24000000953674316,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.0700000524520874,0,0,-0.05000000074505806,-0.07500000298023224,-0.06750000268220901,50,0,0,1,0,0,0,1,-0.07000000029802322,0,Female,North America,Campus 1,Other,Yes,Yes,No,No,No,No,Yes,All Students,On Academic Probation
2.5,2.5,2,2.5,20019,OKAY,1.6299999952316284,2.6600000858306885,1.6299999952316284,2.1500000953674316,4.5,4.5,1,1,OKAY,OKAY,1,1,REG,REG,1,0,F,Other,78952,19,1,0,1,0,2001,NA,0,NA,NA,1,2,4.5,0,0,1,0,0,1,0,1,1,0,1.5,0.12999999523162842,1.159999966621399,2.390000104904175,0.7999999523162842,0.20000004768371582,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.12999999523162842,0.016899999231100082,0.15000000596046448,0.125,0.13249999284744263,62,0,1,0,0,1,0,0,0.12999999523162842,1,Female,North America,Campus 1,Other,No,No,No,No,No,NA,NA,All Students,In Good Standing
4,3.5,4,3,20039,OKAY,1.5099999904632568,1.7300000190734863,1.5099999904632568,1.600000023841858,5,4,1,1,OKAY,OKAY,1,1,REG,REG,0,0,M,English,78995,18,1,0,1,0,2003,NA,NA,NA,NA,NA,4,7,0,0,1,0,1,0,0,0,0,1,1.5,0.009999999776482582,0.23000000417232513,NA,0.23000001907348633,0.10000002384185791,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.009999990463256836,9.999980829888955e-5,0.05000000074505806,0.02500000037252903,0.012500000186264515,25,0,0,1,0,0,1,0,0.009999999776482582,0,Male,North America,Campus 2,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
3.5,4,3,4,20039,PROB,1.4500000476837158,2.240000009536743,1.4500000476837158,1.850000023841858,5,5,0,1,PROB,OKAY,1,1,REG,REG,0,1,M,English,79000,17,1,0,1,0,2003,NA,NA,NA,NA,NA,3,7,0,0,1,0,1,0,0,0,0,1,1.5,-0.05000000074505806,0.7400000095367432,NA,0.7400000095367432,0.3500000238418579,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.04999995231628418,0,0,-0.05000000074505806,-0.02500000037252903,-0.04749999940395355,33,0,0,1,0,0,1,0,-0.05000000074505806,0,Male,North America,Campus 1,English,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
4,1.5,4,1.5,20039,PROB,1.5399999618530273,NA,1.5399999618530273,NA,4,1.5,0,0,PROB,,1,1,REG,REG,0,0,F,English,79028,17,1,0,1,0,2003,NA,NA,NA,NA,NA,4,5.5,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,-0.05999999865889549,NA,NA,NA,NA,1,NA,0,NA,1,0,0,NA,NA,0,0,0,1,1,0,1,-0.060000061988830566,0,0,-0.05000000074505806,-0.07500000298023224,-0.04749999940395355,16,0,0,1,0,0,0,1,-0.05999999865889549,0,Female,North America,Campus 3,English,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
2.5,3,2.5,3,20039,OKAY,1.5399999618530273,2.3499999046325684,1.5399999618530273,1.940000057220459,4,4,1,1,OKAY,OKAY,1,1,REG,REG,0,0,M,English,79033,19,1,0,1,0,2003,NA,NA,NA,NA,NA,2.5,5.5,0,1,1,0,1,0,0,0,0,1,1.5,0.03999999910593033,0.8500000238418579,NA,0.8499999046325684,0.440000057220459,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.039999961853027344,0.0015999969327822328,0.05000000074505806,0.02500000037252903,0.05249999836087227,19,0,0,1,0,0,1,0,0.03999999910593033,0,Male,North America,Campus 2,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
2,3,2,0.5,19989,OKAY,1.600000023841858,0.20999999344348907,1.600000023841858,0.9100000262260437,4,4,1,0,OKAY,PROB,1,1,REG,REG,0,0,F,English,79053,19,1,0,1,0,1998,NA,0,0,0,0,2,2.5,0,NA,0,1,1,0,0,0,1,0,1.5,0.10000000149011612,-1.2899999618530273,NA,-1.2899999618530273,-0.5899999737739563,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.10000002384185791,0.010000004433095455,0.15000000596046448,0.125,0.11249999701976776,42,0,0,1,0,0,0,1,0.10000000149011612,0,Female,North America,Campus 1,English,No,Yes,No,Yes,No,No,No,All Students,In Good Standing
2.5,0,2.5,0,19969,PROB,1.340000033378601,NA,1.340000033378601,NA,4.5,NA,0,0,PROB,,1,0,REG,NOREG,1,0,F,English,79077,19,1,0,1,0,1996,NA,0,0,0,0,2.5,2.5,0,NA,0,1,1,0,0,0,1,0,1.5,-0.1599999964237213,NA,NA,-1.2000000476837158,-0.25999999046325684,1,NA,0,NA,1,0,1,NA,NA,1,1,0,0,1,0,1,-0.15999996662139893,0,0,-0.15000000596046448,-0.17499999701976776,-0.14749999344348907,16,0,0,1,0,0,0,1,-0.1599999964237213,1,Female,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,No,All Students,On Academic Probation
2,3.5,2,3.5,19979,OKAY,1.75,NA,1.75,NA,4,NA,1,0,OKAY,,1,0,REG,NOREG,1,0,F,English,79132,19,1,0,1,0,1997,4.5,0,1,1,0,2,5.5,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,0.15000000596046448,NA,2.2899999618530273,1.600000023841858,0.43999993801116943,0,NA,0,NA,0,0,0,NA,NA,0,0,0,1,1,0,0,0,0.1499999761581421,0.022499993443489075,0.15000000596046448,0.17499999701976776,0.1525000035762787,62,0,1,0,0,1,0,0,0.15000000596046448,1,Female,North America,Campus 3,English,No,No,No,No,No,Yes,Yes,All Students,In Good Standing
2,3,1.5,0.5,20029,OKAY,1.6799999475479126,0.12999999523162842,1.6799999475479126,0.7799999713897705,4,5.5,1,0,OKAY,PROB,1,1,REG,REG,0,1,M,English,79175,19,0,1,0,0,2002,NA,NA,NA,NA,NA,1.5,2,0,0,1,0,1,0,0,0,0,1,1.5,0.18000000715255737,-1.3700000047683716,NA,-1.3700000047683716,-0.7200000286102295,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,19,0,0,1,0,0,1,0,0.18000000715255737,0,Male,Asia,Campus 2,English,No,Yes,No,No,NA,NA,NA,All Students,In Good Standing
3,3,3,2.5,20039,PROB,1.3600000143051147,1.399999976158142,1.3600000143051147,1.3799999952316284,4,5.5,0,0,PROB,SUS1,1,1,REG,REG,0,0,M,French,79215,19,1,0,1,0,2003,NA,NA,NA,NA,NA,3,5.5,0,1,1,0,0,1,1,0,0,1,1.5,-0.14000000059604645,-0.10000000149011612,NA,-0.10000002384185791,-0.12000000476837158,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,-0.13999998569488525,0,0,-0.15000000596046448,-0.125,-0.1274999976158142,16,0,0,1,0,0,1,0,-0.14000000059604645,0,Male,North America,Campus 2,NA,Yes,Yes,No,Yes,NA,NA,NA,All Students,On Academic Probation
