credits1,credits2,credits_earned1,credits_earned2,session1,winter_ac_standing,GPA_year1,GPA_year2,CGPA_year1,CGPA_year2,totcredits_year1,totcredits_year2,goodstanding_year1,goodstanding_year2,winter_ac_stand_year1,winter_ac_stand_year2,fallreg_year1,fallreg_year2,act_fallreg_year1,act_fallreg_year2,summerreg_year1,summerreg_year2,sex,mtongue,identifier,age_at_entry,bpl_north_america,bpl_asia,canadian,bpl_other,firstyear,yearstodegree,gradin4,gradin5,gradin6,gradin4orcont,cumcredits1,cumcredits2,prog_science,prog_socsci_bus,prog_socscihum,prog_unknown,english,noenglish,french,other_lang,female,male,gpacutoff,dist_from_cut,year2_dist_from_cut,CGPA_final,nextGPA,nextCGPA,probation_year1,probation_year2,probation_summer1,probation_summer2,probation_ever,suspended_year1,suspended_summer1,suspended_year2,suspended_summer2,suspended_ever,loc_campus1,loc_campus2,loc_campus3,all,left_school,gpalscutoff,gpaXgpalscutoff,gpaXgpagrcutoff,gpasqXgpagrcutoff,dist_from_cut_med10,dist_from_cut_med05,dist_from_cut_med025,hsgrade_pct,veryhighHS,highHS,lowHS,maleXhighHS,femaleXhighHS,maleXlowabil,femaleXlowabil,clustervar,summer,gender,birthplace,study_campus,first_language,on_probation_after_1st_year,ever_on_probation,left_university_after_1st_evaluation,ever_suspended,graduated_by_year4,graduated_by_year5,graduated_by_year6,all_students,status
2,4,2,3,19999,OKAY,1.6799999475479126,1.0800000429153442,1.6799999475479126,1.340000033378601,4,5,1,0,OKAY,PROB,1,1,REG,REG,0,0,F,Other,922,19,0,1,0,0,1999,5.5,0,0,1,1,2,5,0,0,1,0,0,1,0,1,1,0,1.5,0.18000000715255737,-0.41999998688697815,NA,-0.41999995708465576,-0.15999996662139893,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,14,0,0,1,0,0,0,1,0.18000000715255737,0,Female,Asia,Campus 1,Other,No,Yes,No,Yes,No,No,Yes,All Students,In Good Standing
2.5,2,2.5,2,19969,OKAY,1.5,1.0199999809265137,1.5,1.340000033378601,4,3,1,0,OKAY,PROB,1,1,REG,REG,1,1,F,Other,933,20,0,1,0,0,1996,4,1,1,1,1,2.5,4.5,0,NA,0,1,0,1,0,1,1,0,1.5,0,-0.47999998927116394,1.840000033378601,0.5,0.059999942779541016,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.05000000074505806,0.02500000037252903,0.012500000186264515,56,0,1,0,0,1,0,0,0,1,Female,Asia,Campus 1,Other,No,Yes,No,No,Yes,Yes,Yes,All Students,In Good Standing
2,3,2,3,20009,OKAY,1.6299999952316284,3.049999952316284,1.6299999952316284,2.4600000381469727,3,4,1,1,OKAY,OKAY,1,1,REG,REG,1,1,M,Other,961,18,1,0,1,0,2000,5,0,1,NA,1,2,5,0,NA,0,1,0,1,0,1,0,1,1.600000023841858,0.029999999329447746,1.4500000476837158,2.880000114440918,0.8999999761581421,0.3799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.029999971389770508,8.999982965178788e-4,0.05000000074505806,0.02500000037252903,0.032499998807907104,24,0,0,1,0,0,1,0,0.029999999329447746,1,Male,North America,Campus 3,Other,No,No,No,No,No,Yes,NA,All Students,In Good Standing
3.5,4,3.5,4,19989,PROB,1.350000023841858,2.9000000953674316,1.350000023841858,2.119999885559082,4,4.5,0,1,PROB,OKAY,1,1,REG,REG,1,1,F,English,1013,19,1,0,1,0,1998,4,1,1,1,1,3.5,7.5,0,NA,0,1,1,0,0,0,1,0,1.5,-0.15000000596046448,1.399999976158142,2.4100000858306885,0.5,-0.08000004291534424,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,-0.1499999761581421,0,0,-0.15000000596046448,-0.125,-0.14749999344348907,49,0,0,1,0,0,0,1,-0.15000000596046448,1,Female,North America,Campus 1,English,Yes,Yes,No,No,Yes,Yes,Yes,All Students,On Academic Probation
2,3.5,2,2.5,20029,OKAY,1.7799999713897705,1.3899999856948853,1.7799999713897705,1.659999966621399,4,3.5,1,1,OKAY,OKAY,1,1,REG,REG,1,1,F,English,1205,19,1,0,1,0,2002,NA,NA,NA,NA,NA,2,4.5,1,0,0,0,1,0,0,0,1,0,1.600000023841858,0.18000000715255737,-0.20999999344348907,NA,0.6000000238418579,0.25999999046325684,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1799999475479126,0.032399982213974,0.15000000596046448,0.17499999701976776,0.19249999523162842,38,0,0,1,0,0,0,1,0.18000000715255737,1,Female,North America,Campus 3,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
2,0.5,2,0,19999,PROB,1.4299999475479126,NA,1.4299999475479126,NA,4,0.5,0,0,PROB,SUS1,1,1,REG,REG,0,0,F,English,1214,19,1,0,1,0,1999,NA,0,0,0,0,2,2,0,0,1,0,1,0,0,0,1,0,1.5,-0.07000000029802322,NA,NA,NA,NA,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.0700000524520874,0,0,-0.05000000074505806,-0.07500000298023224,-0.06750000268220901,25,0,0,1,0,0,0,1,-0.07000000029802322,0,Female,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,No,All Students,On Academic Probation
3,0,2,0,19989,PROB,1.3300000429153442,NA,1.3300000429153442,NA,5,0,0,0,PROB,,1,0,REG,CANC,1,0,F,English,1218,18,1,0,1,0,1998,NA,0,0,0,0,2,2,0,NA,0,1,1,0,0,0,1,0,1.5,-0.17000000178813934,NA,NA,-0.20000004768371582,-0.16999995708465576,1,NA,0,NA,1,0,1,NA,NA,1,1,0,0,1,0,1,-0.16999995708465576,0,0,-0.15000000596046448,-0.17499999701976776,-0.16750000417232513,67,0,1,0,0,1,0,0,-0.17000000178813934,1,Female,North America,Campus 1,English,Yes,Yes,No,Yes,No,No,No,All Students,On Academic Probation
2.5,3,2.5,3,19989,PROB,1.3300000429153442,NA,1.3300000429153442,NA,4.5,NA,0,0,PROB,,1,0,REG,NOREG,0,0,M,English,1265,19,1,0,1,0,1998,5.5,0,0,1,0,2.5,5.5,0,NA,0,1,1,0,0,0,0,1,1.5,-0.17000000178813934,NA,NA,NA,NA,1,NA,0,NA,1,0,0,NA,NA,0,1,0,0,1,0,1,-0.16999995708465576,0,0,-0.15000000596046448,-0.17499999701976776,-0.16750000417232513,33,0,0,1,0,0,1,0,-0.17000000178813934,0,Male,North America,Campus 1,English,Yes,Yes,No,No,No,No,Yes,All Students,On Academic Probation
2.5,3.5,2,3.5,20029,PROB,1.309999942779541,3.0799999237060547,1.309999942779541,2.25,4,4.5,0,1,PROB,OKAY,1,1,REG,REG,0,1,F,English,1420,18,1,0,1,0,2002,NA,NA,NA,NA,NA,2,5.5,1,0,0,0,1,0,0,0,1,0,1.5,-0.1899999976158142,1.5800000429153442,NA,1.5799999237060547,0.75,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,-0.19000005722045898,0,0,-0.15000000596046448,-0.17499999701976776,-0.1875,46,0,0,1,0,0,0,1,-0.1899999976158142,0,Female,North America,Campus 2,English,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
3,3,3,3,19999,PROB,1.4800000190734863,NA,1.4800000190734863,NA,5,0,0,0,PROB,,1,0,REG,CANC,0,0,M,English,1475,19,1,0,1,0,1999,6.5,0,0,0,1,3,6,1,0,0,0,1,0,0,0,0,1,1.5,-0.019999999552965164,NA,NA,NA,NA,1,NA,0,NA,1,0,0,NA,NA,0,0,1,0,1,0,1,-0.019999980926513672,0,0,-0.05000000074505806,-0.02500000037252903,-0.007499999832361937,65,0,1,0,1,0,0,0,-0.019999999552965164,0,Male,North America,Campus 2,English,Yes,Yes,No,No,No,No,No,All Students,On Academic Probation
2.5,2,2.5,2,20029,PROB,1.3799999952316284,NA,1.3799999952316284,NA,4,0,0,0,PROB,,1,0,REG,FINCA,1,0,F,Other,1488,18,0,1,0,0,2002,NA,NA,NA,NA,1,2.5,4.5,1,0,0,0,0,1,0,1,1,0,1.5,-0.11999999731779099,NA,1.2699999809265137,1.2000000476837158,0.019999980926513672,1,NA,0,NA,1,0,0,NA,NA,1,1,0,0,1,0,1,-0.12000000476837158,0,0,-0.15000000596046448,-0.125,-0.10750000178813934,51,0,1,0,0,1,0,0,-0.11999999731779099,1,Female,Asia,Campus 1,Other,Yes,Yes,No,Yes,NA,NA,NA,All Students,On Academic Probation
3,3,2,3,20019,PROB,1.340000033378601,1.5299999713897705,1.340000033378601,1.4299999475479126,4,4,0,0,PROB,SUS1,1,1,REG,REG,0,0,M,English,1635,18,1,0,1,0,2001,NA,0,NA,NA,1,2,5,1,0,0,0,1,0,0,0,0,1,1.5,-0.1599999964237213,0.029999999329447746,1.7400000095367432,0.029999971389770508,-0.0700000524520874,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,-0.15999996662139893,0,0,-0.15000000596046448,-0.17499999701976776,-0.14749999344348907,44,0,0,1,0,0,1,0,-0.1599999964237213,0,Male,North America,Campus 1,English,Yes,Yes,No,Yes,No,NA,NA,All Students,On Academic Probation
2,2.25,2,2.25,20019,OKAY,1.75,2.069999933242798,1.75,1.9199999570846558,4,4.5,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,1679,19,1,0,1,0,2001,NA,0,NA,NA,1,2,4.25,0,NA,0,1,1,0,0,0,1,0,1.600000023841858,0.15000000596046448,0.4699999988079071,2.059999942779541,0.46999990940093994,0.31999993324279785,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1499999761581421,0.022499993443489075,0.15000000596046448,0.17499999701976776,0.1525000035762787,8,0,0,1,0,0,0,1,0.15000000596046448,0,Female,North America,Campus 3,English,No,No,No,No,No,NA,NA,All Students,In Good Standing
5,4,4.5,4,20039,PROB,1.5099999904632568,1.7999999523162842,1.5099999904632568,1.7100000381469727,5,4,0,1,PROB,OKAY,1,1,REG,REG,1,0,F,Other,1699,19,1,0,1,0,2003,NA,NA,NA,NA,NA,4.5,8.5,1,0,0,0,0,1,0,1,1,0,1.600000023841858,-0.09000000357627869,0.20000000298023224,NA,0.7499998807907104,0.04999995231628418,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,-0.09000003337860107,0,0,-0.05000000074505806,-0.07500000298023224,-0.08749999850988388,9,0,0,1,0,0,0,1,-0.09000000357627869,1,Female,North America,Campus 3,Other,Yes,Yes,No,No,NA,NA,NA,All Students,On Academic Probation
2.5,2,2.5,2,20039,OKAY,1.600000023841858,2.8299999237060547,1.600000023841858,2.140000104904175,5,4,1,1,OKAY,OKAY,1,1,REG,REG,0,0,F,English,1737,19,1,0,1,0,2003,NA,NA,NA,NA,NA,2.5,4.5,1,0,0,0,1,0,0,0,1,0,1.5,0.10000000149011612,1.3300000429153442,NA,1.3299999237060547,0.6400001049041748,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.10000002384185791,0.010000004433095455,0.15000000596046448,0.125,0.11249999701976776,79,1,1,0,0,1,0,0,0.10000000149011612,0,Female,North America,Campus 1,English,No,No,No,No,NA,NA,NA,All Students,In Good Standing
